사업장명,업종구분소분류,상세영업상태명,소재지전체주소,도로명전체주소,Reviews,stars,stars_vote_num,n_reviews,n_stars,소재지,법정동
오가네전복,한식,영업,제주특별자치도 서귀포시 토평동 1284번지 ,제주특별자치도 서귀포시 중산간동로 7738 (토평동),409,4.7,309,0,0.0,서귀포시,서귀포
머체왓식당,한식,영업,제주특별자치도 서귀포시 남원읍 한남리 1622-3번지 ,제주특별자치도 서귀포시 남원읍 서성로 755,31,3.7,16,0,0.0,서귀포시,남원
곶자왈화덕피자,패스트푸드,영업,제주특별자치도 서귀포시 안덕면 서광리 1413-1번지 ,제주특별자치도 서귀포시 안덕면 녹차분재로 58,132,3.9,37,0,0.0,서귀포시,안덕
썬라이즈135,경양식,영업,제주특별자치도 서귀포시 성산읍 시흥리 1211-3번지 ,제주특별자치도 서귀포시 성산읍 시흥상동로 135,31,4.8,21,0,0.0,서귀포시,성산
제주와인방,호프,영업,제주특별자치도 서귀포시 서홍동 285-3 ,"제주특별자치도 서귀포시 중앙로 199, 1층 4호 (서홍동)",116,4.0,3,0,0.0,서귀포시,서귀포
고집돌우럭 중문,한식,영업,제주특별자치도 서귀포시 색달동 2351번지 ,"제주특별자치도 서귀포시 일주서로 879, 2층 (색달동)",1568,4.9,3131,0,0.0,서귀포시,중문
오르다,한식,영업,제주특별자치도 서귀포시 성산읍 성산리 308 ,"제주특별자치도 서귀포시 성산읍 한도로 269-37, 1,2층",419,3.7,70,0,0.0,서귀포시,성산
남원수제돈까스,일식,영업,제주특별자치도 서귀포시 남원읍 남원리 179-7 ,제주특별자치도 서귀포시 남원읍 남한로 10-1,37,4.1,22,0,0.0,서귀포시,남원
공새미59,한식,영업,제주특별자치도 서귀포시 남원읍 신례리 60-3번지 ,제주특별자치도 서귀포시 남원읍 공천포로 59-1,82,3.7,58,0,0.0,서귀포시,남원
모메든식당,한식,영업,제주특별자치도 서귀포시 일주서로 508 (하원동),제주특별자치도 서귀포시 일주서로 508 (하원동),77,4.3,118,0,0.0,서귀포시,중문
탐라간장게장,한식,영업,제주특별자치도 서귀포시 표선면 표선당포로 10-4,제주특별자치도 서귀포시 표선면 표선당포로 10-4,31,4.8,36,0,0.0,서귀포시,표선
맨도롱해장국,한식,영업,제주특별자치도 서귀포시 서귀동 313-5번지 ,제주특별자치도 서귀포시 태평로353번길 11 (서귀동),67,3.7,107,0,0.0,서귀포시,서귀포
돈이랑,한식,영업,제주특별자치도 서귀포시 색달동 2182번지 ,제주특별자치도 서귀포시 일주서로 953 (색달동),896,4.5,643,0,0.0,서귀포시,중문
돈사향서귀포,한식,영업,"제주특별자치도 서귀포시 서귀동 295-27번지 , 1층 ","제주특별자치도 서귀포시 천지로 20, 1층 (서귀동)",112,4.3,34,0,0.0,서귀포시,서귀포
산방식당,한식,영업,제주특별자치도 서귀포시 대정읍 하모리 864-3번지 ,제주특별자치도 서귀포시 대정읍 하모이삼로 62,198,3.5,142,0,0.0,서귀포시,대정
제주스럽닭,호프,영업,제주특별자치도 서귀포시 중문동 2140-32번지 ,제주특별자치도 서귀포시 중문동 2140-32번지 ,65,3.7,53,0,0.0,서귀포시,중문
부뚜막식당,한식,영업,제주특별자치도 서귀포시 성산읍 고성리 1003-10 ,제주특별자치도 서귀포시 성산읍 고성오조로 11,82,3.9,27,0,0.0,서귀포시,성산
포도호텔레스토랑,경양식,영업,제주특별자치도 서귀포시 안덕면 상천리 산 62-3번지 ,제주특별자치도 서귀포시 안덕면 산록남로 863,47,3.8,24,0,0.0,서귀포시,안덕
문치비,한식,영업,제주특별자치도 서귀포시 강정동 172-2번지 ,제주특별자치도 서귀포시 신서로32번길 14 (강정동),202,4.0,56,0,0.0,서귀포시,중문
복태네갈치탕,한식,영업,제주특별자치도 서귀포시 대정읍 상모리 131-3번지 ,제주특별자치도 서귀포시 대정읍 송악관광로 421,43,4.1,29,0,0.0,서귀포시,대정
돈고팡산방산,한식,영업,제주특별자치도 서귀포시 안덕면 사계리 1935번지 ,제주특별자치도 서귀포시 안덕면 산방로 261,178,3.6,22,0,0.0,서귀포시,안덕
대한민육,한식,영업,제주특별자치도 서귀포시 서귀동 326-27 ,제주특별자치도 서귀포시 서문로 30 (서귀동),158,4.8,146,0,0.0,서귀포시,서귀포
난드르바당,한식,영업,제주특별자치도 서귀포시 하예동 1798-4 ,제주특별자치도 서귀포시 하예하동로16번길 11-1 (하예동),325,3.7,61,0,0.0,서귀포시,안덕
제주밥상,한식,영업,"제주특별자치도 서귀포시 강정동 2498-3번지 , 1층 ","제주특별자치도 서귀포시 이어도로 720, 1층 (강정동)",35,5.0,1,0,0.0,서귀포시,중문
수눌음,한식,영업,제주특별자치도 서귀포시 대정읍 하모리 770-47번지 ,제주특별자치도 서귀포시 대정읍 하모항구로 50,60,4.3,58,0,0.0,서귀포시,대정
빌레왓,한식,영업,제주특별자치도 서귀포시 안덕면 화순리 1244-1번지 ,제주특별자치도 서귀포시 안덕면 화순서동로 14,43,3.8,31,0,0.0,서귀포시,안덕
다도,한식,영업,제주특별자치도 서귀포시 법환동 1556-2번지 ,"제주특별자치도 서귀포시 이어도로 866-29, 1층 (법환동)",130,4.4,81,0,0.0,서귀포시,서귀포
가파도해물짜장짬뽕,중식,영업,제주특별자치도 서귀포시 대정읍 가파리 561-1번지 ,제주특별자치도 서귀포시 대정읍 가파로67번길 1,65,3.9,53,0,0.0,서귀포시,대정
바람에머물다,경양식,영업,제주특별자치도 서귀포시 하효동 1052-3번지 ,제주특별자치도 서귀포시 하효중앙로 5 (하효동),66,3.8,16,0,0.0,서귀포시,서귀포
사우스포레스트,한식,영업,제주특별자치도 서귀포시 상효동 1116-1 ,제주특별자치도 서귀포시 516로 574-23 (상효동),36,4.7,12,0,0.0,서귀포시,서귀포
만선식당,한식,영업,제주특별자치도 서귀포시 대정읍 하모리 770-50번지 ,제주특별자치도 서귀포시 대정읍 하모항구로 44,383,4.0,94,0,0.0,서귀포시,대정
대기정,한식,영업,제주특별자치도 서귀포시 대포동 1787번지 ,제주특별자치도 서귀포시 이어도로 41 (대포동),253,4.1,148,0,0.0,서귀포시,서귀포
