사업장명,업종구분소분류,상세영업상태명,소재지전체주소,도로명전체주소,Reviews,stars,n_reviews,n_stars
콧수염양꼬치,고기,영업,제주특별자치도 제주시 연동 2325-1번지 ,"제주특별자치도 제주시 성신로1길 30, 2층 (연동)",,,,
이치진,고기,영업,제주특별자치도 제주시 도련일동 1978-6번지 ,"제주특별자치도 제주시 건주로 66, 1층 101호 (도련일동)",,,,
예산가마솥장수촌설렁탕신제주점,한식,영업,제주특별자치도 제주시 연동 284-19번지 ,"제주특별자치도 제주시 연동10길 13, 1층 (연동)",,,,
바당지기,해산물,영업,제주특별자치도 제주시 구좌읍 월정리 30 ,"제주특별자치도 제주시 구좌읍 해맞이해안로 480, 1층",,,,
인손,술집,영업,제주특별자치도 제주시 구좌읍 세화리 1448-1번지 ,"제주특별자치도 제주시 구좌읍 세화4길 10, 1층",,,,
유주,카페,영업,제주특별자치도 제주시 한림읍 옹포리 318-1 ,"제주특별자치도 제주시 한림읍 한림상로 17, 1층",,,,
써니분식,분식,영업,제주특별자치도 제주시 도련이동 550번지 제주삼화엘에이치3단지 ,"제주특별자치도 제주시 화삼로 110, 상가동 1층 101호 (도련이동, 제주삼화엘에이치3단지)",,,,
애월후식,카페,영업,제주특별자치도 제주시 애월읍 납읍리 1726-5번지 ,"제주특별자치도 제주시 애월읍 납읍로 21, 1층",,,,
부가네얼큰이봉개점,호프,영업,제주특별자치도 제주시 봉개동 2012 ,"제주특별자치도 제주시 봉개대동6길 41, 1층 (봉개동)",,,,
동명정류장,카페,영업,제주특별자치도 제주시 한림읍 동명리 1322-2번지 ,"제주특별자치도 제주시 한림읍 동명7길 26, 1층",,,,
배롱정원,카페,영업,제주특별자치도 제주시 한림읍 협재리 2518 ,"제주특별자치도 제주시 한림읍 협재4길 19, 1층",,,,
육고깃집노형점,고기,영업,제주특별자치도 제주시 노형동 764-12번지 ,"제주특별자치도 제주시 진군4길 8, 1층 (노형동)",,,,
집밥콘서트,한식,영업,제주특별자치도 제주시 오라이동 2216-7번지 ,"제주특별자치도 제주시 오라로 55, 1층 (오라이동)",,,,
에이프릴,카페,영업,제주특별자치도 제주시 연동 291-93번지 태원빌라 ,"제주특별자치도 제주시 삼무로9길 30, 1층 (연동, 태원빌라)",,,,
스시아리엔,일식,영업,제주특별자치도 제주시 애월읍 하귀1리 201-2번지 ,"제주특별자치도 제주시 애월읍 하귀동남3길 4, 1층",,,,
더애월김치찌개전문점저지점,한식,영업,제주특별자치도 제주시 한경면 저지리 2120-14 ,제주특별자치도 제주시 한경면 저지12길 99,,,,
홍어일번지,해산물,영업,제주특별자치도 제주시 오라삼동 2912번지 ,"제주특별자치도 제주시 연오로 31, 1층 (오라삼동)",,,,
공기,한식,영업,제주특별자치도 제주시 화북일동 1973-2번지 ,"제주특별자치도 제주시 진남로6길 22-4, 1층 (화북일동)",,,,
노형포차,카페,영업,제주특별자치도 제주시 노형동 1276-1번지 ,"제주특별자치도 제주시 다랑곶5길 9, 1층 (노형동)",,,,
노을안에풍차,한식,영업,제주특별자치도 제주시 한경면 용수리 3891 ,"제주특별자치도 제주시 한경면 한경해안로 360, 1층",,,,
노가리앤비어아라점,호프,영업,제주특별자치도 제주시 아라일동 6090-4 ,"제주특별자치도 제주시 아란9길 6-5, 1층 (아라일동)",,,,
이춘옥원조고등어쌈밥월정점,한식,영업,제주특별자치도 제주시 구좌읍 월정리 699번지 ,"제주특별자치도 제주시 구좌읍 월정중길 19-11, 1층",,,,
2500분식,분식,영업,제주특별자치도 제주시 이도이동 888 주공1아파트 ,"제주특별자치도 제주시 구남로7길 36, 상가동 1층 105호 (이도이동, 주공1아파트)",,,,
제주이와이,일식,영업,제주특별자치도 제주시 애월읍 하귀2리 2420-1번지 ,"제주특별자치도 제주시 애월읍 하귀로 4, 1층",,,,
평대베를린,와인,영업,제주특별자치도 제주시 구좌읍 평대리 1958-3번지 ,"제주특별자치도 제주시 구좌읍 평대2길 39-37, 1층",,,,
자유까페,카페,영업,제주특별자치도 제주시 건입동 1043-66번지 ,"제주특별자치도 제주시 동문로 91-1, 2층 (건입동)",,,,
식도원,뷔페,영업,제주특별자치도 제주시 이도이동 416-3 ,"제주특별자치도 제주시 연삼로 498, 1층 (이도이동)",,,,
팜스테이블,고기,영업,제주특별자치도 제주시 연동 1311-1 ,"제주특별자치도 제주시 수목원길 41, 2층 (연동)",,,,
노랑통닭외도점,호프,영업,제주특별자치도 제주시 외도일동 527-11번지 ,"제주특별자치도 제주시 우정로11길 13, 1층 (외도일동)",,,,
스테이36,호프,영업,제주특별자치도 제주시 노형동 1069-4 ,"제주특별자치도 제주시 다랑곶4길 36, 1층 (노형동)",,,,
막창먹는놈외도점,한식,영업,제주특별자치도 제주시 외도일동 636-5 ,"제주특별자치도 제주시 우정로 82, 1층 (외도일동)",,,,
한촌설렁탕제주종합운동장점,한식,영업,제주특별자치도 제주시 오라일동 1269번지 ,"제주특별자치도 제주시 오라로 118, 1층 (오라일동)",,,,
페어리제주,카페,영업,제주특별자치도 제주시 구좌읍 하도리 3200-1번지 ,"제주특별자치도 제주시 구좌읍 해맞이해안로 1486, 1층",,,,
맘스터치제주애월고점,호프,영업,제주특별자치도 제주시 애월읍 고내리 833-1번지 ,"제주특별자치도 제주시 애월읍 일주서로 6365, 에이동 1층",,,,
바우골곱창쭈꾸미제주본점,한식,영업,제주특별자치도 제주시 노형동 1059-5번지 ,제주특별자치도 제주시 정존11길 36 (노형동),,,,
모토이시제주시청점,고기,영업,제주특별자치도 제주시 이도이동 1767-18 ,"제주특별자치도 제주시 서광로32길 29, 1층 (이도이동)",,,,
1프로스위치,한식,영업,제주특별자치도 제주시 영평동 2669-4번지 ,"제주특별자치도 제주시 연신로 157, 2층 (영평동)",,,,
우굼,한식,영업,제주특별자치도 제주시 애월읍 유수암리 1472-2번지 ,"제주특별자치도 제주시 애월읍 하소로 611-42, 1층",,,,
임주현고기국수정식집,한식,영업,제주특별자치도 제주시 한림읍 동명리 1597-6번지 ,"제주특별자치도 제주시 한림읍 한림상로 110, 다동 1층",,,,
맛있는온도,술집,영업,제주특별자치도 제주시 일도이동 50-4 ,"제주특별자치도 제주시 연수로5길 4, 1층 (일도이동)",,,,
고죽면제주삼화점,한식,영업,제주특별자치도 제주시 도련일동 1938-5 제주 아빌로스 ,"제주특별자치도 제주시 건주로4길 6-4, 제주 아빌로스 107호 (도련일동)",,,,
제주협재마카롱인맛까롱홍대부부,카페,영업,제주특별자치도 제주시 한림읍 한림리 1086 ,"제주특별자치도 제주시 한림읍 한림중앙로 9, 1층",,,,
황제중화요리,중식,영업,제주특별자치도 제주시 애월읍 광령리 2217-5 ,"제주특별자치도 제주시 애월읍 광령5길 6, 1층",,,,
시드니양갈비,고기,영업,제주특별자치도 제주시 노형동 3790 ,"제주특별자치도 제주시 노형10길 10, 2층 (노형동)",,,,
심청이쌈밥,한식,영업,제주특별자치도 제주시 아라일동 6095-4 ,"제주특별자치도 제주시 아란5길 19-12, 1층 (아라일동)",,,,
카페온,카페,영업,제주특별자치도 제주시 노형동 1049-22번지 ,"제주특별자치도 제주시 다랑곶6길 39, 1층 (노형동)",,,,
아꼬운디,한식,영업,제주특별자치도 제주시 한림읍 월령리 348-3번지 ,제주특별자치도 제주시 한림읍 월령리 348-3번지 ,,,,
매콤명태촌,해산물,영업,제주특별자치도 제주시 외도일동 436-4번지 ,"제주특별자치도 제주시 절물3길 7, 1층 (외도일동)",,,,
카페다조천점,카페,영업,제주특별자치도 제주시 조천읍 조천리 2342 ,"제주특별자치도 제주시 조천읍 신북로 246, 1층",,,,
맥파이블루버드,호프,영업,제주특별자치도 제주시 삼도이동 1260-5번지 ,"제주특별자치도 제주시 탑동로2길 7, 1~2층 (삼도이동)",,,,
술의식물원,카페,영업,제주특별자치도 제주시 구좌읍 송당리 1381-3번지 ,"제주특별자치도 제주시 구좌읍 중산간동로 2253, 1층",,,,
돌수산,해산물,영업,제주특별자치도 제주시 연동 304-15번지 ,"제주특별자치도 제주시 사장길 17, 1층 (연동)",,,,
