사업장명,업종구분소분류,상세영업상태명,소재지전체주소,도로명전체주소,Reviews,stars,n_reviews,n_stars,소재지,법정동
해녀스낵,분식,영업,제주특별자치도 제주시 한경면 판포리 2881-3 ,"제주특별자치도 제주시 한경면 일주서로 4533-19, 2층",111,4.3,86,4.44,제주시,한경
646미터퍼세크,경양식,영업,제주특별자치도 제주시 한경면 금등리 646 너울빌리지 ,"제주특별자치도 제주시 한경면 일주서로 4469, 너울빌리지 1층",76,4.1,0,0.0,제주시,한경
위즈피자,양식,영업,제주특별자치도 제주시 용담삼동 2378 ,"제주특별자치도 제주시 서해안로 468-2, 1층 (용담삼동)",44,4.4,284,4.77,제주시,제주
퐁당라면,한식,영업,제주특별자치도 제주시 한경면 판포리 2869-3 ,"제주특별자치도 제주시 한경면 일주서로 4533-3, 2층",152,4.1,448,4.84,제주시,한경
금악냉면,한식,영업,제주특별자치도 제주시 한림읍 금악리 2133-1 ,"제주특별자치도 제주시 한림읍 금악로1길 15, 다동 1층",58,4.0,222,4.35,제주시,한림
살찐고등어,카페,영업,제주특별자치도 제주시 구좌읍 하도리 1767번지 ,"제주특별자치도 제주시 구좌읍 해맞이해안로 1708, 1층",178,3.7,742,4.47,제주시,구좌
월정리에서브런치,경양식,영업,제주특별자치도 제주시 구좌읍 월정리 551 ,"제주특별자치도 제주시 구좌읍 월정3길 53-4, 1~2층",101,4.3,1265,4.49,제주시,구좌
더화원,한식,영업,제주특별자치도 제주시 이호일동 307-1 ,"제주특별자치도 제주시 도리로 132, 1층 (이호일동)",113,3.9,425,4.43,제주시,제주
진대감,고기,영업,제주특별자치도 제주시 노형동 2420 외5필지 A동(1층) ,"제주특별자치도 제주시 광평동로 45 (노형동, A동)",67,3.7,324,4.51,제주시,제주
구좌모메존흑돼지,한식,영업,제주특별자치도 제주시 구좌읍 세화리 3645-8 ,"제주특별자치도 제주시 구좌읍 세화1길 17, 1층",89,4.2,556,0.0,제주시,구좌
은혜전복,한식,영업,제주특별자치도 제주시 애월읍 애월리 2528 ,"제주특별자치도 제주시 애월읍 애월로1길 24-3, 1층",1011,3.8,2256,4.49,제주시,애월
