사업장명,업종구분소분류,상세영업상태명,소재지전체주소,도로명전체주소,Reviews,stars,stars_vote_num
레프트핸더,카페,영업,제주특별자치도 제주시 구좌읍 상도리 471-25번지 제2호(1층) ,제주특별자치도 제주시 구좌읍 상도북2길 17-12 (제2호),9,4.4,14
제주아라매점,패스트푸드,영업,제주특별자치도 제주시 아라일동 2574번지 외2필지 ,"제주특별자치도 제주시 구산로 4, 1층 (아라일동, 메가타워)",0,0,0
달자카페,카페,영업,제주특별자치도 제주시 애월읍 구엄리 545번지 ,"제주특별자치도 제주시 애월읍 애월해안로 738, 나동 1~2층",19,4.6,37
노리파크화북삼양점,카페,영업,제주특별자치도 제주시 화북일동 2065-1번지 ,"제주특별자치도 제주시 일주동로 224, 3층 (화북일동)",3,1.0,1
보름도레기,푸드트럭,영업,제주특별자치도 제주시 애월읍 봉성리 4554-12 ,제주특별자치도 제주시 애월읍 봉성리 4554-12 ,0,0,0
하루봉,푸드트럭,영업,제주특별자치도 제주시 애월읍 봉성리 4554-12 ,제주특별자치도 제주시 애월읍 봉성리 4554-12 ,0,0,0
마키산도,푸드트럭,영업,제주특별자치도 제주시 애월읍 봉성리 4554-12 ,제주특별자치도 제주시 애월읍 봉성리 4554-12 ,0,0,0
펠롱,카페,영업,제주특별자치도 제주시 이도이동 1008-5번지 1층 ,"제주특별자치도 제주시 신성로10길 9, 1층 (이도이동)",0,0,0
약속다방,카페,영업,제주특별자치도 제주시 아라일동 6134-10번지 ,"제주특별자치도 제주시 인다5길 33, 1층 (아라일동)",0,0,0
풍림다방송당점,카페,영업,제주특별자치도 제주시 구좌읍 송당리 1377-1번지 ,"제주특별자치도 제주시 구좌읍 중산간동로 2267-4, 2층",440,3.4,166
커피가좋아,카페,영업,제주특별자치도 제주시 한림읍 한림리 1314-125번지 ,"제주특별자치도 제주시 한림읍 한림해안로 166, 1층",0,0.0,0
