사업장명,업종구분소분류,상세영업상태명,소재지전체주소,도로명전체주소,Reviews,stars,stars_vote_num,n_reviews,n_stars
고향흑돼지,한식,영업,제주특별자치도 제주시 한림읍 옹포리 385-13 ,제주특별자치도 제주시 한림읍 한림해안로 29,39,4.9,124,0,0.0
심바카레,한식,영업,제주특별자치도 제주시 애월읍 금성리 472-5 ,"제주특별자치도 제주시 애월읍 금성5길 44-16, 1층",106,3.6,41,0,0.0
바미아일랜드,경양식,영업,제주특별자치도 제주시 구좌읍 월정리 14번지 ,"제주특별자치도 제주시 구좌읍 해맞이해안로 474-1, 1층",53,3.9,38,0,0.0
안녕협재씨제주협재점,한식,영업,제주특별자치도 제주시 한림읍 협재리 1450-1 ,"제주특별자치도 제주시 한림읍 협재1길 55, 1층",254,4.1,200,0,0.0
노포갈비,고기,영업,제주특별자치도 제주시 도남동 84-1 ,"제주특별자치도 제주시 신성로 82-2, 1층 (도남동)",92,4.4,23,0,0.0
판포어촌계직영펜션식당,한식,영업,제주특별자치도 제주시 한경면 판포리 1707 ,"제주특별자치도 제주시 한경면 일주서로 4542, 1층",45,5.0,4,0,0.0
물팡과허벅,한식,영업,제주특별자치도 제주시 노형동 940-7번지 ,"제주특별자치도 제주시 원노형로 35, 103호 (노형동)",46,5.0,3,0,0.0
스시우다,일식,영업,제주특별자치도 제주시 용담삼동 521-2번지 ,"제주특별자치도 제주시 용마로 30, 1층 (용담삼동)",46,3.7,50,0,0.0
백리향,한식,영업,제주특별자치도 제주시 조천읍 조천리 2342-1번지 ,제주특별자치도 제주시 조천읍 신북로 244,116,4.0,94,0,0.0
남또리,해산물,영업,제주특별자치도 제주시 애월읍 고내리 337 ,제주특별자치도 제주시 애월읍 애월해안로 384,49,4.1,26,0,0.0
민경이네어등포해녀촌,한식,영업,제주특별자치도 제주시 구좌읍 102 ,"제주특별자치도 제주시 구좌읍 해맞이해안로 830, 1층",97,3.8,68,0,0.0
밀면촌,고기,영업,제주특별자치도 제주시 이도이동 398-21 ,제주특별자치도 제주시 승천로 15 (이도이동),36,4.0,31,0,0.0
김희선제주몸국,고기,영업,제주특별자치도 제주시 용담삼동 1174-1번지 ,"제주특별자치도 제주시 어영길 19, 1층 (용담삼동)",304,4.0,176,0,0.0
회양과국수군,한식,영업,제주특별자치도 제주시 우도면 연평리 2473-9번지 ,"제주특별자치도 제주시 우도면 우도해안길 270, 1층 2호",71,3.7,19,0,0.0
장전고을,한식,영업,제주특별자치도 제주시 애월읍 장전리 1739-15번지 ,"제주특별자치도 제주시 애월읍 중산간서로 6010, 1층",81,3.9,47,0,0.0
진돼지,고기,영업,제주특별자치도 제주시 연동 1330 ,"제주특별자치도 제주시 은수길 65, B동 1층 (연동)",46,4.4,14,0,0.0
행원바당손칼국수,한식,영업,제주특별자치도 제주시 구좌읍 행원리 92 ,"제주특별자치도 제주시 구좌읍 해맞이해안로 820, 1동 1층",32,3.8,13,0,0.0
모다정,한식,영업,제주특별자치도 제주시 구좌읍 세화리 3645-4 ,제주특별자치도 제주시 구좌읍 세평항로 26,49,4.3,43,0,0.0
탐라우돈,한식,영업,제주특별자치도 제주시 노형동 1040-2 ,제주특별자치도 제주시 다랑곶2길 52 (노형동),62,4.6,342,0,0.0
로맨틱새우,양식,영업,제주특별자치도 제주시 애월읍 곽지리 1584-5번지 곽지어촌계펜션 ,"제주특별자치도 제주시 애월읍 곽지1길 12-12, 1층 103호 (곽지어촌계펜션)",158,3.8,62,0,0.0
코코리파이프,양식,영업,제주특별자치도 제주시 애월읍 하귀1리 336-3번지 ,"제주특별자치도 제주시 애월읍 하귀6길 22, 1층",114,4.2,69,0,0.0
안녕제주,한식,영업,제주특별자치도 제주시 조천읍 함덕리 951-1번지 ,"제주특별자치도 제주시 조천읍 함덕18길 19, 1층",46,3.9,53,0,0.0
제주돈계절,한식,영업,제주특별자치도 제주시 애월읍 광령리 3401-1 ,"제주특별자치도 제주시 애월읍 광성로 213, 1층",45,4.0,25,0,0.0
청담이상신제주점,한식,영업,제주특별자치도 제주시 노형동 937-7번지 ,"제주특별자치도 제주시 원노형로 66, 1층 (노형동)",52,3.6,9,0,0.0
제주돔베고기집,고기,영업,제주특별자치도 제주시 노형동 1279-1 ,제주특별자치도 제주시 월랑로4길 6 (노형동),139,4.3,75,0,0.0
문게야,한식,영업,제주특별자치도 제주시 일도이동 142-27번지 ,제주특별자치도 제주시 동광로23길 23 (일도이동),40,4.7,76,0,0.0
바다속고등어쌈밥,한식,영업,제주특별자치도 제주시 애월읍 하귀1리 1548 ,제주특별자치도 제주시 애월읍 일주서로 7089,161,3.8,80,0,0.0
큐티파이,한식,영업,제주특별자치도 제주시 애월읍 신엄리 963 ,"제주특별자치도 제주시 애월읍 애월해안로 610, 1층",31,4.0,10,0,0.0
얌얌,한식,영업,제주특별자치도 제주시 구좌읍 세화리 1419-8번지 외1필지(1층) ,제주특별자치도 제주시 구좌읍 세화리 1419-8번지 외1필지(1층) ,51,4.5,117,0,0.0
채훈이네해장국,한식,영업,제주특별자치도 제주시 한경면 신창리 327-2 ,제주특별자치도 제주시 한경면 두신로 69,202,4.7,48,0,0.0
