사업장명,업종구분소분류,상세영업상태명,소재지전체주소,도로명전체주소,Reviews,stars,n_reviews,n_stars,소재지,법정동,위도,경도
봄봄한북로,카페,영업,제주특별자치도 제주시 오등동 767-2 ,"제주특별자치도 제주시 한북로 132, 1층 (오등동)",0,0.0,74,4.61,제주시,제주,33.4634148449801, 126.52994365645
에이바우트커피삼화,카페,영업,제주특별자치도 제주시 화북일동 1069-1 ,"제주특별자치도 제주시 동화로 56, 1층 (화북일동)",10,3.3,548,4.44,제주시,제주,33.5154072992543, 126.572541370228
피자알볼로노형,패스트푸드,영업,제주특별자치도 제주시 노형동 3797-9 ,"제주특별자치도 제주시 노형6길 9, 1층 (노형동)",1,3.2,311,4.52,제주시,제주,33.4816215352569, 126.478153644689
카페헤이브라운,카페,영업,제주특별자치도 제주시 아라일동 6056 ,"제주특별자치도 제주시 아란2길 59, 1층 (아라일동)",0,4.6,84,4.4,제주시,제주,33.4721254865165, 126.541167855888
오운커피,카페,영업,제주특별자치도 제주시 아라일동 6061-11 ,"제주특별자치도 제주시 아란11길 23, 1층 (아라일동)",21,4.9,74,4.73,제주시,제주,33.4702439200194, 126.541307726435
에이바우트커피정부종합청사,카페,영업,제주특별자치도 제주시 도남동 663-10 ,"제주특별자치도 제주시 청사로 79, 1층 (도남동)",0,0.0,283,4.33,제주시,제주,33.4901652927492, 126.527409747521
베트남,푸드트럭,영업,제주특별자치도 제주시 연동 1320 ,"제주특별자치도 제주시 은수길 69, 수목원 테마파크 관광지내 (연동)",0,0.0,324,4.28,제주시,제주,33.4705945023669, 126.48835998234
달코넛해적단,푸드트럭,영업,제주특별자치도 제주시 연동 1320 ,"제주특별자치도 제주시 은수길 69, 수목원테마파크 관광지 내 (연동)",0,0.0,117,4.47,제주시,제주,33.4705945023669, 126.48835998234
몽돌보롬,푸드트럭,영업,제주특별자치도 제주시 연동 1320 ,"제주특별자치도 제주시 은수길 69, 수목원 테마파크 관광지내 (연동)",0,0.0,148,4.25,제주시,제주,33.4705945023669, 126.48835998234
와이키키제주,푸드트럭,영업,제주특별자치도 제주시 연동 1320 ,"제주특별자치도 제주시 은수길 69, 수목원 테마파크 관광지 내 (연동)",0,0.0,51,4.21,제주시,제주,33.4705945023669, 126.48835998234
공육사,푸드트럭,영업,제주특별자치도 제주시 연동 1320 ,"제주특별자치도 제주시 은수길 69, 수목원 테마파크 관광지 내 (연동)",0,0.0,86,4.28,제주시,제주,33.4705945023669, 126.48835998234
제주를맛보다,푸드트럭,영업,제주특별자치도 제주시 애월읍 봉성리 4554-12 ,제주 제주시 애월읍 평화로 1491-3,0,0.0,91,4.38,제주시,애월,33.3634894897182, 126.359827642022
새별츄로도그,푸드트럭,영업,제주특별자치도 제주시 애월읍 봉성리 4554-12 ,제주 제주시 애월읍 평화로 1491-3,0,0.0,84,4.44,제주시,애월,33.3634894897182, 126.359827642022
이디야커피시청고산동산,카페,영업,제주특별자치도 제주시 이도이동 1011-2 위드빌 ,"제주특별자치도 제주시 중앙로 264, 1층 101호 (이도이동, 위드빌)",1,3.3,225,4.5,제주시,제주,33.4964882244366, 126.531532506154
엘스테이,카페,영업,제주특별자치도 제주시 이도이동 2014-5 ,"제주특별자치도 제주시 구남동6길 15, 1층 (이도이동)",12,4.8,65,4.67,제주시,제주,33.4881931367617, 126.53768511651
젤코바,카페,영업,제주특별자치도 제주시 애월읍 하귀2리 1927-3 ,"제주특별자치도 제주시 애월읍 하소로 1, 1층",3,4.5,293,4.54,제주시,애월,33.4797605924783, 126.399953518844
탐앤탐스제주노형,카페,영업,제주특별자치도 제주시 노형동 3794-12 ,"제주특별자치도 제주시 신형로 14, 1층 (노형동)",1,5.0,127,4.5,제주시,제주,33.4822721674794, 126.476645810838
